Title,Company,Location,Link
N/A,N/A,"Langenhagen, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/werkstudent-workflow-automatisierung-digital-transformation-all-genders-at-mtu-maintenance-4033169039?position=20&pageNum=0&refId=EOIVh85hX3k413NE0D6T2A%3D%3D&trackingId=lhsjACOn6pKrwN2yHT%2FPEA%3D%3D
N/A,N/A,"Hannover, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/praktikum-data-science-m-w-d-at-sonova-group-4191717691?position=21&pageNum=0&refId=EOIVh85hX3k413NE0D6T2A%3D%3D&trackingId=oFt66tufDQV13fA2Nnl91A%3D%3D
N/A,N/A,"Hannover, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/werkstudent-praktikant-im-bereich-digital-und-ai-analytics-m-w-d-in-hannover-at-deloitte-3481617548?position=22&pageNum=0&refId=EOIVh85hX3k413NE0D6T2A%3D%3D&trackingId=ntc2okiVQBKswO56woKpUg%3D%3D
N/A,N/A,"Celle, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/werkstudent-f%C3%BCr-system-und-datenanalyse-2025-m%C3%B6glichkeiten-celle-at-baker-hughes-4088305069?position=23&pageNum=0&refId=EOIVh85hX3k413NE0D6T2A%3D%3D&trackingId=Ciew0gVVolJ%2Ff8fmc9TYCw%3D%3D
N/A,N/A,"Wunstorf, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/12-month-university-internship-%E2%80%93-services-intern-2025-opportunities-wunstorf-at-baker-hughes-4139676122?position=24&pageNum=0&refId=EOIVh85hX3k413NE0D6T2A%3D%3D&trackingId=DIwRhr8EFwZQq7hO2BB1gQ%3D%3D
N/A,N/A,"Hannover, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/praktikum-data-science-w-m-d-at-pwc-deutschland-4214940352?position=25&pageNum=0&refId=EOIVh85hX3k413NE0D6T2A%3D%3D&trackingId=ClmDGkaVnKI%2FxlunT%2FeG9A%3D%3D
N/A,N/A,"Hildesheim, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/werkstudent-praktikant-%E2%80%93-prozessadaption-m-w-d-at-autogyro-gmbh-4194439940?position=26&pageNum=0&refId=EOIVh85hX3k413NE0D6T2A%3D%3D&trackingId=iWy7ooMQzsBynrEJhMsphQ%3D%3D
N/A,N/A,"Lehrte, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/werkstudent-im-datenmanagement-geodaten-m-w-d-at-tennet-germany-4208584350?position=27&pageNum=0&refId=EOIVh85hX3k413NE0D6T2A%3D%3D&trackingId=JrTLrbKIvIW2PhbvZfk41g%3D%3D
N/A,N/A,"Langenhagen, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/praktikum-digitale-transformation-all-genders-at-mtu-maintenance-4033164630?position=28&pageNum=0&refId=EOIVh85hX3k413NE0D6T2A%3D%3D&trackingId=dl%2FD1%2Ffa37oCgxucRcoxpg%3D%3D
N/A,N/A,"Sarstedt, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/werkstudent-schwerpunkt-vertrieb-working-student-focus-on-sales-m-f-d-at-kelvion-4206538728?position=29&pageNum=0&refId=EOIVh85hX3k413NE0D6T2A%3D%3D&trackingId=GuNSBVIJfAxDZDfmhHL2jA%3D%3D
N/A,N/A,"Hannover, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/praktikum-im-bereich-credit-risk-control-unit-at-nord-lb-4119375461?position=30&pageNum=0&refId=EOIVh85hX3k413NE0D6T2A%3D%3D&trackingId=3Ayq9%2FdGs%2FAtOpMbnpNtiA%3D%3D
N/A,N/A,"Hannover, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/praktikum-im-marktrisikocontrolling-focus-modelle-m-w-d-at-nord-lb-4214787093?position=31&pageNum=0&refId=EOIVh85hX3k413NE0D6T2A%3D%3D&trackingId=vHAQk%2Bk8CLaBGL7DJ3iNoQ%3D%3D
N/A,N/A,"Hannover, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/praktikum-java-entwickler-in-im-risikocontrolling-m-w-d-at-nord-lb-4217386717?position=32&pageNum=0&refId=EOIVh85hX3k413NE0D6T2A%3D%3D&trackingId=YQCrEw2yAPLMHlSx67V2fg%3D%3D
N/A,N/A,"Hannover, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/praktikum-im-aktuariat-versicherungsmathematik-w-m-d-at-kpmg-deutschland-4208934708?position=33&pageNum=0&refId=EOIVh85hX3k413NE0D6T2A%3D%3D&trackingId=VZpEZSi4ZDu%2BiapCFTwOeg%3D%3D
N/A,N/A,"Hannover, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/praktikant-wirtschaftspr%C3%BCfung-im-bereich-banken-assurance-financial-services-w-m-d-at-ey-3973478249?position=34&pageNum=0&refId=EOIVh85hX3k413NE0D6T2A%3D%3D&trackingId=cU%2FsJYfdW8cUinkL%2F2yRHg%3D%3D
